trial_id,cluster_pair,cluster_a,cluster_b,anchor_cluster,distractor_cluster,repeat_idx,primary_key,image_A_cluster,image_A_source_index,image_A_role,image_A_center_cells_path,image_A_gen_imgs_path,image_B_cluster,image_B_source_index,image_B_role,image_B_center_cells_path,image_B_gen_imgs_path,image_C_cluster,image_C_source_index,image_C_role,correct_answer,correct_cluster,image_C_center_cells_path,image_C_gen_imgs_path
11,0_11,0,11,11,0,0,center_cells,11,8,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0011_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0011_A_gen_imgs.png,0,1,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0011_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0011_B_gen_imgs.png,11,7,same_2,B,0,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0011_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0011_C_gen_imgs.png
12,0_12,0,12,12,0,0,center_cells,0,8,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0012_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0012_A_gen_imgs.png,12,5,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0012_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0012_B_gen_imgs.png,12,8,same_1,A,0,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0012_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0012_C_gen_imgs.png
13,0_13,0,13,0,13,0,center_cells,0,6,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0013_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0013_A_gen_imgs.png,0,9,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0013_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0013_B_gen_imgs.png,13,5,distractor,C,13,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0013_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0013_C_gen_imgs.png
14,0_14,0,14,0,14,0,center_cells,0,3,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0014_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0014_A_gen_imgs.png,0,2,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0014_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0014_B_gen_imgs.png,14,0,distractor,C,14,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0014_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0014_C_gen_imgs.png
15,0_15,0,15,0,15,0,center_cells,0,2,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0015_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0015_A_gen_imgs.png,15,2,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0015_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0015_B_gen_imgs.png,0,1,same_1,B,15,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0015_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0015_C_gen_imgs.png
16,0_16,0,16,16,0,0,center_cells,0,8,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0016_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0016_A_gen_imgs.png,16,8,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0016_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0016_B_gen_imgs.png,16,6,same_2,A,0,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0016_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0016_C_gen_imgs.png
17,0_17,0,17,17,0,0,center_cells,17,9,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0017_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0017_A_gen_imgs.png,0,9,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0017_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0017_B_gen_imgs.png,17,6,same_2,B,0,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0017_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0017_C_gen_imgs.png
18,0_18,0,18,0,18,0,center_cells,0,1,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0018_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0018_A_gen_imgs.png,0,5,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0018_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0018_B_gen_imgs.png,18,5,distractor,C,18,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0018_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0018_C_gen_imgs.png
19,0_19,0,19,0,19,0,center_cells,19,3,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0019_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0019_A_gen_imgs.png,0,3,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0019_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0019_B_gen_imgs.png,0,5,same_1,A,19,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0019_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0019_C_gen_imgs.png
20,0_20,0,20,0,20,0,center_cells,0,3,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0020_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0020_A_gen_imgs.png,20,2,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0020_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0020_B_gen_imgs.png,0,5,same_2,B,20,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0020_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0020_C_gen_imgs.png
21,0_21,0,21,21,0,0,center_cells,21,2,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0021_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0021_A_gen_imgs.png,0,3,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0021_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0021_B_gen_imgs.png,21,1,same_1,B,0,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0021_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0021_C_gen_imgs.png
22,0_22,0,22,0,22,0,center_cells,22,6,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0022_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0022_A_gen_imgs.png,0,1,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0022_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0022_B_gen_imgs.png,0,3,same_1,A,22,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0022_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0022_C_gen_imgs.png
